Date,CountOfPersons
2019-08-31 07:00:00,3
2019-08-31 07:05:00,0
2019-08-31 07:10:00,0
2019-08-31 07:15:00,0
2019-08-31 07:20:00,0
2019-08-31 07:25:00,0
2019-08-31 07:30:00,0
2019-08-31 07:35:00,0
2019-08-31 07:40:00,2
2019-08-31 07:45:00,0
2019-08-31 07:50:00,1
2019-08-31 07:55:00,2
2019-08-31 08:00:00,1
2019-08-31 08:05:00,0
2019-08-31 08:10:00,0
2019-08-31 08:15:00,0
2019-08-31 08:20:00,1
2019-08-31 08:25:00,5
2019-08-31 08:30:00,7
2019-08-31 08:35:00,0
2019-08-31 08:40:00,2
2019-08-31 08:45:00,0
2019-08-31 08:50:00,2
2019-08-31 08:55:00,1
2019-08-31 09:00:00,0
2019-08-31 09:05:00,0
2019-08-31 09:10:00,1
2019-08-31 09:15:00,0
2019-08-31 09:20:00,10
2019-08-31 09:25:00,8
2019-08-31 09:30:00,11
2019-08-31 09:35:00,6
2019-08-31 09:40:00,13
2019-08-31 09:45:00,9
2019-08-31 09:50:00,5
2019-08-31 09:55:00,16
2019-08-31 10:00:00,16
2019-08-31 10:05:00,17
2019-08-31 10:10:00,13
2019-08-31 10:15:00,19
2019-08-31 10:20:00,14
2019-08-31 10:25:00,15
2019-08-31 10:30:00,18
2019-08-31 10:35:00,14
2019-08-31 10:40:00,3
2019-08-31 10:45:00,6
2019-08-31 10:50:00,4
2019-08-31 10:55:00,1
2019-08-31 11:00:00,4
2019-08-31 11:05:00,314
2019-08-31 11:10:00,121
2019-08-31 11:15:00,138
2019-08-31 11:20:00,155
2019-08-31 11:25:00,167
2019-08-31 11:30:00,202
2019-08-31 11:35:00,275
2019-08-31 11:40:00,275
2019-08-31 11:45:00,409
2019-08-31 11:50:00,428
2019-08-31 11:55:00,516
2019-08-31 12:00:00,491
2019-08-31 12:05:00,566
2019-08-31 12:10:00,531
2019-08-31 12:15:00,567
2019-08-31 12:20:00,600
2019-08-31 12:25:00,625
2019-08-31 12:30:00,631
2019-08-31 12:35:00,606
2019-08-31 12:40:00,621
2019-08-31 12:45:00,683
2019-08-31 12:50:00,653
2019-08-31 12:55:00,297
2019-08-31 13:00:00,65
2019-08-31 13:05:00,36
2019-08-31 13:10:00,29
2019-08-31 13:15:00,17
2019-08-31 13:20:00,18
2019-08-31 13:25:00,6
2019-08-31 13:30:00,5
2019-08-31 13:35:00,1
2019-08-31 13:40:00,5
2019-08-31 13:45:00,8
2019-08-31 13:50:00,9
2019-08-31 13:55:00,4
2019-08-31 14:00:00,8
