Date,CountOfPersons
2020-02-22 07:15:00,2
2020-02-22 07:20:00,0
2020-02-22 07:25:00,0
2020-02-22 07:30:00,0
2020-02-22 07:35:00,0
2020-02-22 07:40:00,0
2020-02-22 07:45:00,6
2020-02-22 07:50:00,2
2020-02-22 07:55:00,0
2020-02-22 08:00:00,1
2020-02-22 08:05:00,0
2020-02-22 08:10:00,0
2020-02-22 08:15:00,0
2020-02-22 08:20:00,0
2020-02-22 08:25:00,0
2020-02-22 08:30:00,0
2020-02-22 08:35:00,1
2020-02-22 08:40:00,0
2020-02-22 08:45:00,0
2020-02-22 08:50:00,0
2020-02-22 08:55:00,0
2020-02-22 09:00:00,0
2020-02-22 09:05:00,0
2020-02-22 09:10:00,0
2020-02-22 09:15:00,1
2020-02-22 09:20:00,6
2020-02-22 09:25:00,9
2020-02-22 09:30:00,11
2020-02-22 09:35:00,14
2020-02-22 09:40:00,10
2020-02-22 09:45:00,8
2020-02-22 09:50:00,10
2020-02-22 09:55:00,11
2020-02-22 10:00:00,13
2020-02-22 10:05:00,18
2020-02-22 10:10:00,12
2020-02-22 10:15:00,21
2020-02-22 10:20:00,11
2020-02-22 10:25:00,22
2020-02-22 10:30:00,20
2020-02-22 10:35:00,16
2020-02-22 10:40:00,17
2020-02-22 10:45:00,3
2020-02-22 10:50:00,3
2020-02-22 10:55:00,1
2020-02-22 11:00:00,117
2020-02-22 11:05:00,239
2020-02-22 11:10:00,88
2020-02-22 11:15:00,79
2020-02-22 11:20:00,114
2020-02-22 11:25:00,151
2020-02-22 11:30:00,163
2020-02-22 11:35:00,252
2020-02-22 11:40:00,267
2020-02-22 11:45:00,360
2020-02-22 11:50:00,405
2020-02-22 11:55:00,467
2020-02-22 12:00:00,527
2020-02-22 12:05:00,611
2020-02-22 12:10:00,617
2020-02-22 12:15:00,607
2020-02-22 12:20:00,670
2020-02-22 12:25:00,624
2020-02-22 12:30:00,678
2020-02-22 12:35:00,672
2020-02-22 12:40:00,640
2020-02-22 12:45:00,446
2020-02-22 12:50:00,201
2020-02-22 12:55:00,111
2020-02-22 13:00:00,31
2020-02-22 13:05:00,24
2020-02-22 13:10:00,19
2020-02-22 13:15:00,25
2020-02-22 13:20:00,9
2020-02-22 13:25:00,2
2020-02-22 13:30:00,7
2020-02-22 13:35:00,2
2020-02-22 13:40:00,3
2020-02-22 13:45:00,6
2020-02-22 13:50:00,2
2020-02-22 13:55:00,4
2020-02-22 14:00:00,4
2020-02-22 14:05:00,3
