Date,CountOfPersons
2019-12-08 06:55:00,2
2019-12-08 07:00:00,7
2019-12-08 07:05:00,0
2019-12-08 07:10:00,0
2019-12-08 07:15:00,0
2019-12-08 07:20:00,0
2019-12-08 07:25:00,0
2019-12-08 07:30:00,0
2019-12-08 07:35:00,0
2019-12-08 07:40:00,0
2019-12-08 07:45:00,0
2019-12-08 07:50:00,0
2019-12-08 07:55:00,0
2019-12-08 08:00:00,2
2019-12-08 08:05:00,0
2019-12-08 08:10:00,0
2019-12-08 08:15:00,0
2019-12-08 08:20:00,0
2019-12-08 08:25:00,0
2019-12-08 08:30:00,0
2019-12-08 08:35:00,0
2019-12-08 08:40:00,4
2019-12-08 08:45:00,1
2019-12-08 08:50:00,5
2019-12-08 08:55:00,2
2019-12-08 09:00:00,0
2019-12-08 09:05:00,0
2019-12-08 09:10:00,0
2019-12-08 09:15:00,1
2019-12-08 09:20:00,1
2019-12-08 09:25:00,5
2019-12-08 09:30:00,7
2019-12-08 09:35:00,7
2019-12-08 09:40:00,5
2019-12-08 09:45:00,8
2019-12-08 09:50:00,9
2019-12-08 09:55:00,5
2019-12-08 10:00:00,6
2019-12-08 10:05:00,15
2019-12-08 10:10:00,3
2019-12-08 10:15:00,11
2019-12-08 10:20:00,6
2019-12-08 10:25:00,15
2019-12-08 10:30:00,21
2019-12-08 10:35:00,11
2019-12-08 10:40:00,12
2019-12-08 10:45:00,17
2019-12-08 10:50:00,13
2019-12-08 10:55:00,16
2019-12-08 11:00:00,13
2019-12-08 11:05:00,6
2019-12-08 11:10:00,9
2019-12-08 11:15:00,12
2019-12-08 11:20:00,0
2019-12-08 11:25:00,2
2019-12-08 11:30:00,314
2019-12-08 11:35:00,71
2019-12-08 11:40:00,115
2019-12-08 11:45:00,95
2019-12-08 11:50:00,177
2019-12-08 11:55:00,120
2019-12-08 12:00:00,187
2019-12-08 12:05:00,251
2019-12-08 12:10:00,234
2019-12-08 12:15:00,216
2019-12-08 12:20:00,288
2019-12-08 12:25:00,349
2019-12-08 12:30:00,612
2019-12-08 12:35:00,544
2019-12-08 12:40:00,552
2019-12-08 12:45:00,567
2019-12-08 12:50:00,589
2019-12-08 12:55:00,569
2019-12-08 13:00:00,511
2019-12-08 13:05:00,529
2019-12-08 13:10:00,506
2019-12-08 13:15:00,294
2019-12-08 13:20:00,264
2019-12-08 13:25:00,106
2019-12-08 13:30:00,41
2019-12-08 13:35:00,34
2019-12-08 13:40:00,13
2019-12-08 13:45:00,7
2019-12-08 13:50:00,7
2019-12-08 13:55:00,8
2019-12-08 14:00:00,8
2019-12-08 14:05:00,4
2019-12-08 14:10:00,3
2019-12-08 14:15:00,5
2019-12-08 14:20:00,0
2019-12-08 14:25:00,0
2019-12-08 14:30:00,1
2019-12-08 14:35:00,2
